metric_id,product_id,marketplace_id,monthly_search_volume,estimated_monthly_sales,is_synthetic
metric_hg_005,product_hg_005,marketplace_amazon_us,17551,1310,true
metric_hg_006,product_hg_006,marketplace_amazon_us,14189,1253,true
metric_hg_007,product_hg_007,marketplace_amazon_us,5306,186,true
metric_hg_008,product_hg_008,marketplace_amazon_us,3302,139,true
metric_hg_009,product_hg_009,marketplace_amazon_us,9794,466,true
metric_hg_010,product_hg_010,marketplace_amazon_us,6980,733,true
metric_hg_011,product_hg_011,marketplace_amazon_us,4004,603,true
metric_hg_012,product_hg_012,marketplace_amazon_us,7243,493,true
metric_hg_013,product_hg_013,marketplace_amazon_us,8026,1073,true
metric_hg_014,product_hg_014,marketplace_amazon_us,24987,979,true
metric_hg_015,product_hg_015,marketplace_amazon_us,19095,1227,true
metric_hg_016,product_hg_016,marketplace_amazon_us,6646,1009,true
metric_hg_017,product_hg_017,marketplace_amazon_us,4104,264,true
metric_hg_018,product_hg_018,marketplace_amazon_us,13070,287,true
metric_hg_019,product_hg_019,marketplace_amazon_us,833,271,true
metric_hg_020,product_hg_020,marketplace_amazon_us,4533,1231,true
metric_hg_021,product_hg_021,marketplace_amazon_us,4313,1451,true
metric_hg_022,product_hg_022,marketplace_amazon_us,2380,1215,true
metric_hg_023,product_hg_023,marketplace_amazon_us,9465,451,true
metric_hg_024,product_hg_024,marketplace_amazon_us,13871,1650,true
metric_hg_025,product_hg_025,marketplace_amazon_us,15863,249,true
metric_hg_026,product_hg_026,marketplace_amazon_us,8177,869,true
metric_hg_027,product_hg_027,marketplace_amazon_us,19353,1776,true
metric_hg_028,product_hg_028,marketplace_amazon_us,8602,453,true
metric_hg_029,product_hg_029,marketplace_amazon_us,20024,903,true
metric_hg_030,product_hg_030,marketplace_amazon_us,10659,687,true
metric_hg_031,product_hg_031,marketplace_amazon_us,10319,1403,true
metric_hg_032,product_hg_032,marketplace_amazon_us,4626,1549,true
